vitonava@gmail.com;Vito Nava;1234;River;X
nicolasgiordano@gmail.com;Nicolas;1505;Argentinos Juniors;M
nicolasumansky@gmail.com;NicoU;1234;Boca Juniors;M
nico@gmail.com;Nico;1234;Boca Juniors;M
valenmannino@gmail.com;Valentina;1207;Argentina;F
micaelacembal@gmail.com;Mica;1605;River;F
andre@gmail.com;andreaSaru;1972;Boca Juniors;F
martinferraro@gmail.com;Martin;1983;Independiente;M
albertogomez@gmail.com;AlbertoG;1256;San Lorenzo;M
claudiaestrada@gmail.com;ClauEst;1359;Racing;F
pablomendez@gmail.com;PabloM;1407;Huracán;M
sofiafernandez@gmail.com;SofiF;1821;Estudiantes;F
mariaquintero@gmail.com;MariaQ;1564;Gimnasia;F
danielrios@gmail.com;DanRios;1145;Vélez;M
lucialopez@gmail.com;LuciLo;1643;Argentinos Juniors;F
ricardocruz@gmail.com;RickyC;1320;Lanús;M
florenciarossi@gmail.com;FlorR;1789;Rosario Central;F
jorgegarcia@gmail.com;JorgeG;1222;Newell's;M
gustavocastro@gmail.com;GusC;1437;Talleres;M
fernandalima@gmail.com;FernandaL;1876;Colón;F
julianvarela@gmail.com;JulianV;1133;Banfield;M
camilaperez@gmail.com;CamiP;1702;Patronato;F
sebastianarias@gmail.com;SebaA;1628;Atlético Tucumán;M
felipemartinez@gmail.com;FelipeM;1369;Defensa y Justicia;M
marianamoreno@gmail.com;MarianaM;1547;Sarmiento;F
andresgonzalez@gmail.com;AndresG;1444;Central Córdoba;M
vivianasilva@gmail.com;VivianaS;1518;Platense;F
